# Depth,LaunchAngle,ArrivalAngle,ArrivalAngleCalc
3.700000000000000000e+02,5.466796875000000000e+01,8.967709531602493200e+01,8.967709531602493200e+01
3.800000000000000000e+02,5.361328124999999289e+01,8.999424127016486352e+01,8.999424127016486352e+01
3.900000000000000000e+02,5.291015625000000000e+01,8.998508214300734664e+01,8.998508214300734664e+01
4.000000000000000000e+02,5.220703125000000000e+01,8.994159995798440832e+01,8.994159995798440832e+01
4.100000000000000000e+02,5.150390625000000000e+01,8.981581317516467777e+01,8.981581317516467777e+01
4.200000000000000000e+02,5.080078125000000000e+01,8.976873030987788127e+01,8.976873030987788127e+01
4.300000000000000000e+02,5.009765624999999289e+01,8.981531937324025705e+01,8.981531937324025705e+01
4.400000000000000000e+02,4.939453125000000000e+01,8.738642263721192194e+01,8.866385579879933232e+01
4.500000000000000000e+02,4.939453125000000000e+01,8.716455619905671881e+01,8.866385579879933232e+01
4.600000000000000000e+02,4.904296875000000000e+01,8.364309609590782202e+01,8.396104856362913438e+01
4.700000000000000000e+02,4.904296875000000000e+01,8.310381663554821330e+01,8.396104856362913438e+01
4.800000000000000000e+02,4.869140625000000000e+01,8.136807864698370452e+01,8.154656716221599311e+01
4.900000000000000000e+02,4.833984375000000000e+01,7.954224454521342125e+01,7.966751152502378375e+01
5.000000000000000000e+02,4.798828125000000000e+01,7.796827094256975954e+01,7.806816979701056880e+01
5.100000000000000000e+02,4.798828125000000000e+01,7.666926479129165273e+01,7.806816979701056880e+01
5.200000000000000000e+02,4.763671875000000711e+01,7.545613416390810357e+01,7.664763857376996725e+01
5.300000000000000000e+02,4.728515625000000711e+01,7.427844421537754727e+01,7.535378752060766772e+01
5.400000000000000000e+02,4.693359375000000711e+01,7.312605543480400172e+01,7.415554356618213205e+01
5.500000000000000000e+02,4.658203125000000000e+01,7.199977759824206203e+01,7.303263092767920739e+01
5.600000000000000000e+02,4.623046875000000000e+01,7.091102163585141227e+01,7.197096056291272248e+01
5.700000000000000000e+02,4.587890625000000000e+01,6.984911132148540958e+01,7.096027743538451205e+01
5.800000000000000000e+02,4.517578124999999289e+01,6.904013993907125268e+01,6.906266223690414563e+01
5.900000000000000000e+02,4.482421875000000000e+01,6.814661617448524566e+01,6.816495912072372221e+01
6.000000000000000000e+02,4.447265625000000000e+01,6.727797801643478692e+01,6.729587668057153849e+01
6.100000000000000000e+02,4.412109375000000000e+01,6.643391925237968110e+01,6.645223926171786388e+01
6.200000000000000000e+02,4.376953125000000000e+01,6.561407506786804333e+01,6.563139763221353462e+01
6.300000000000000000e+02,4.341796875000000000e+01,6.481803433465582032e+01,6.483111508974431558e+01
6.400000000000000000e+02,4.306640624999999289e+01,6.403478022537446179e+01,6.404948335488410294e+01
6.500000000000000000e+02,4.271484374999999289e+01,6.327454311074941273e+01,6.328485925725718886e+01
6.600000000000000000e+02,4.236328124999999289e+01,6.252639340543768753e+01,6.253581626286617734e+01
6.700000000000000000e+02,4.201171875000000000e+01,6.179002287901588630e+01,6.180110680422445313e+01
6.800000000000000000e+02,4.166015625000000000e+01,6.107539924089772398e+01,6.107963261202366567e+01
6.900000000000000000e+02,4.130859375000000000e+01,6.036154258926510607e+01,6.037042106660047835e+01
7.000000000000000000e+02,4.095703125000000000e+01,5.966862186658883616e+01,5.967260614230018234e+01
7.100000000000000000e+02,4.060546874999999289e+01,5.897593016688115597e+01,5.898541290085935884e+01
7.200000000000000000e+02,4.025390625000000000e+01,5.830334145902537557e+01,5.830814475904985983e+01
7.300000000000000000e+02,3.990234375000000000e+01,5.763043389081686740e+01,5.764017294796252600e+01
7.400000000000000000e+02,3.955078125000000000e+01,5.697678945836210573e+01,5.698092772050338795e+01
7.500000000000000000e+02,3.919921875000000000e+01,5.632227879690161387e+01,5.632989096586830158e+01
7.600000000000000000e+02,3.884765625000000000e+01,5.568619606574649339e+01,5.568658996572155928e+01
7.700000000000000000e+02,3.849609374999999289e+01,5.504870818245809261e+01,5.505059208390701997e+01
7.800000000000000000e+02,3.849609374999999289e+01,5.421795302072744249e+01,5.505059208390701997e+01
7.900000000000000000e+02,3.814453125000000000e+01,5.377965890430599671e+01,5.442150022489909844e+01
8.000000000000000000e+02,3.779296875000000000e+01,5.336645317053428528e+01,5.379894892948086493e+01
8.100000000000000000e+02,3.744140625000000000e+01,5.298772015187369533e+01,5.318260100189726813e+01
8.200000000000000000e+02,3.708984374999999289e+01,5.256907418771852036e+01,5.257214458284368419e+01
8.300000000000000000e+02,3.673828125000000000e+01,5.196073716644030327e+01,5.196729059847712051e+01
8.400000000000000000e+02,3.638671875000000711e+01,5.136795796825621352e+01,5.136777052818420941e+01
8.500000000000000000e+02,3.603515625000000711e+01,5.077199883964498639e+01,5.077333444385701000e+01
8.600000000000000000e+02,3.603515625000000711e+01,5.005978460588978862e+01,5.077333444385701000e+01
8.700000000000000000e+02,3.568359375000000711e+01,4.982346732763791408e+01,5.018374928147706981e+01
8.800000000000000000e+02,3.533203125000000000e+01,4.959577141166785452e+01,4.959879731231657729e+01
8.900000000000000000e+02,3.498046875000000000e+01,4.901685497836806604e+01,4.901827478635962621e+01
9.000000000000000000e+02,3.462890625000000000e+01,4.843393115069181221e+01,4.844199072487514712e+01
9.100000000000000000e+02,3.462890625000000000e+01,4.770795455021644926e+01,4.844199072487514712e+01
9.200000000000000000e+02,3.427734375000000000e+01,4.759685872305158938e+01,4.786976584263322110e+01
9.300000000000000000e+02,3.392578125000000000e+01,8.344258593684634207e+01,4.730143158319675933e+01
